#Peak RebF BinPhase	PeakT     BinT	   PeakR    EPeakR     SNR	Criterium Nadiac
  1   22    6	     0.477    2.200	1235.90909  23.70183   52.14	14  7
  2    6    0	    21.077    0.600	1413.33333  48.53407   29.12	14  7
  3   33   17	    86.827    3.300	1182.72727  18.93151   62.47	24  8
  4    1    0	   135.827    0.100	16760.00000 409.38979   40.94	14  7
  5    3    1	   136.227    0.300	15120.00000 224.49944   67.35	14  7
  6    2    1	   138.577    0.200	14525.00000 269.49026   53.90	35 10
  7    2    0	   142.477    0.200	9265.00000 215.23243   43.05	 6  4
  8    1    0	   145.727    0.100	11940.00000 345.54305   34.55	 2  3
  9    2    1	   148.577    0.200	5990.00000 173.06068   34.61	26  9
