#Peak RebF BinPhase	PeakT     BinT	   PeakR    EPeakR     SNR	Criterium Nadiac
  1    1    0	     0.386    0.100	4457.49695 234.09400   19.04	 5  3
  2    3    1	   189.286    0.300	18808.72823 257.20722   73.13	 6  4
  3    3    1	   195.286    0.300	11932.53860 207.89955   57.40	24  8
  4    1    0	   198.086    0.100	10757.74069 343.36569   31.33	21  9
  5    2    0	   200.636    0.200	13469.49281 269.25824   50.02	21  9
  6    2    1	   202.336    0.200	11115.68745 246.42443   45.11	17  7
  7    1    0	   204.786    0.100	7212.44652 287.05400   25.13	14  7
  8    4    2	   211.136    0.400	2784.71131  97.56408   28.54	19  7
  9    4    2	   220.336    0.400	1227.14070  74.87490   16.39	23  8
